"GEO_ID","NAME","C03002_001E","C03002_001M","C03002_002E","C03002_002M","C03002_003E","C03002_003M","C03002_004E","C03002_004M","C03002_005E","C03002_005M","C03002_006E","C03002_006M","C03002_007E","C03002_007M","C03002_008E","C03002_008M","C03002_009E","C03002_009M","C03002_010E","C03002_010M","C03002_011E","C03002_011M","C03002_012E","C03002_012M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"1600000US4159000","Portland city, Oregon","652573","938","591813","4364","457042","5280","39882","3949","4938","1247","57526","3208","4576","1060","2422","1856","25427","3712","826","618","24601","3638","60760","4421"
"1600000US0680812","Turlock city, California","73490","52","45384","4202","34326","4466","4309","2338","32","53","3607","1902","521","589","235","313","2354","1230","22","38","2332","1231","28106","4204"
"1600000US4459000","Providence city, Rhode Island","179335","29","104158","6032","58856","5637","26594","3886","448","663","12556","2658","0","220","1258","868","4446","1740","70","108","4376","1778","75177","6032"
"1600000US2669035","Rochester Hills city, Michigan","74700","27","70738","1477","56851","2747","2595","1285","128","178","10148","2261","0","172","332","425","684","410","0","172","684","410","3962","1477"
"1600000US4803000","Amarillo city, Texas","200880","2284","135248","3192","109280","3135","12978","1587","826","468","9048","744","443","478","25","44","2648","1240","211","343","2437","1322","65632","2340"
"1600000US0644574","Lynwood city, California","70492","50","9406","2623","1643","1033","5682","2027","377","400","674","508","130","219","0","211","900","813","0","211","900","813","61086","2620"
"1600000US1271625","The Villages CDP, Florida","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1600000US0613588","Citrus Heights city, California","87916","38","68716","3848","58352","4215","2300","959","594","588","3672","1990","213","241","591","506","2994","974","0","211","2994","974","19200","3848"
"1600000US0682996","Vista city, California","101227","41","54321","5071","42611","4623","4015","2301","138","159","4833","1474","283","386","410","532","2031","976","14","30","2017","978","46906","5069"
"1600000US2053775","Overland Park city, Kansas","192525","59","178615","3129","146688","3877","8942","2539","264","213","17779","2311","75","129","214","279","4653","1417","258","266","4395","1404","13910","3128"
"1600000US2481175","Waldorf CDP, Maryland","78591","4765","72081","4345","14572","2555","51389","4494","241","279","2042","1191","0","206","230","282","3607","1861","0","206","3607","1861","6510","1826"
